pid:page:w0 w1 w2 w3 w4 w5 w6 w7
94:42:0 0 0 0 0 0 0 0 
87:203:0 0 0 0 0 0 0 0 
87:126:0 24 0 0 0 0 0 0 
87:64:0 0 0 0 0 0 0 0 
94:109:0 0 0 0 0 0 0 0 
76:48:0 0 0 0 0 0 0 0 
76:111:0 0 0 0 0 0 0 0 
15:40:0 61452 0 0 0 0 0 0 
28:43:0 0 0 0 0 0 0 0 
94:68:0 0 0 0 0 0 0 0 
15:84:0 0 0 0 0 0 0 0 
15:29:0 0 0 0 0 0 0 0 
15:69:0 0 0 0 0 0 0 747 
87:90:0 0 0 566 0 0 0 0 
24:149:338 0 0 0 0 0 0 0 
15:164:0 0 0 0 0 0 0 0 
15:34:0 0 0 0 0 0 0 550 
30:168:0 0 0 0 0 0 0 0 
29:27:0 447 0 0 0 0 0 0 
24:85:0 0 0 0 0 0 0 0 
24:150:0 696 0 0 0 0 0 0 
24:185:0 0 0 0 0 0 0 0 
15:12:0 0 0 0 0 0 0 0 
24:208:0 0 0 0 0 0 0 605 
30:79:0 0 0 0 0 0 0 100 
29:196:0 0 0 180 0 0 0 0 
15:35:0 0 0 0 0 0 0 0 
15:115:0 0 0 0 0 0 0 0 
24:76:0 0 0 0 0 0 0 0 
29:49:0 0 0 0 0 0 0 405 
15:41:0 48062 0 0 0 0 0 0 
15:37:0 0 0 0 0 0 0 0 
35:59:0 0 0 0 0 0 0 0 
29:107:0 0 0 0 0 0 0 0 
35:34:0 0 0 0 0 0 0 0 
30:83:0 0 0 0 0 0 0 0 
29:188:0 0 0 0 0 0 0 0 
35:85:0 0 0 0 0 0 5375 0 
30:246:0 0 0 0 0 0 0 0 
37:121:0 0 0 0 151 0 0 0 
37:116:0 0 0 0 0 0 0 0 
24:253:0 0 39597 0 0 0 0 0 
37:255:0 0 0 0 0 0 0 0 
30:34:0 0 0 0 0 2560 0 0 
37:236:0 0 0 0 0 0 0 654 
35:237:0 0 0 0 0 0 0 0 
37:18:0 0 0 0 0 0 0 0 
24:175:0 39597 0 0 0 0 0 0 
24:219:0 0 0 43017 0 0 0 0 
30:147:0 35940 0 0 0 0 0 0 
37:40:0 0 0 0 0 0 0 0 
35:111:0 5375 0 0 0 0 0 0 
35:209:0 0 0 0 0 0 0 0 
54:85:0 0 0 534 0 0 0 0 
37:43:0 0 0 0 0 0 0 10439 
35:48:0 0 0 189 0 0 0 0 
37:151:0 0 0 0 0 0 0 0 
35:179:0 0 0 0 0 0 0 0 
35:75:0 0 0 27193 0 0 0 0 
65:22:0 0 0 0 0 0 0 0 
65:82:0 17719 0 0 0 0 0 0 
37:66:0 0 0 0 0 10439 0 0 
65:95:38859 0 0 0 0 0 0 0 
35:250:0 0 0 0 56757 0 0 0 
54:76:0 0 0 0 129 0 0 0 
66:163:0 0 262 0 0 0 0 0 
54:253:0 0 85 0 0 0 0 0 
66:25:0 0 0 0 0 0 0 262 
66:118:0 0 0 0 0 0 0 0 
66:143:0 0 0 0 0 0 0 0 
54:34:0 0 0 0 0 0 0 0 
65:28:0 0 0 0 0 34797 0 0 
54:116:0 771 0 0 0 0 0 0 
66:155:0 0 262 0 0 0 0 0 
66:185:0 0 0 0 0 0 0 0 
66:214:0 0 0 0 0 280 0 0 
66:250:0 0 0 0 0 644 0 0 
66:171:0 0 0 0 0 0 0 0 
66:191:0 0 0 0 0 0 0 0 
66:212:0 0 0 0 0 0 0 0 
54:98:0 587 0 0 0 0 0 0 
66:181:0 0 0 0 0 528 0 0 
66:208:0 0 0 0 0 0 0 0 
38:114:0 0 0 41599 0 0 0 0 
89:109:43126 0 0 0 0 0 0 0 
89:75:0 0 0 0 0 0 0 14745 
38:229:0 0 0 0 0 0 0 0 
85:225:0 0 0 0 0 0 60905 0 
85:139:0 0 0 0 0 0 0 0 
68:162:339 0 0 0 0 0 0 0 
85:18:0 0 0 0 0 0 0 0 
68:93:0 0 0 0 0 0 0 339 
89:159:0 0 0 0 0 0 4 0 
89:74:0 0 186 0 0 0 0 0 
68:177:0 0 0 463 0 0 0 0 
68:38:0 0 0 0 0 209 0 0 
68:75:0 463 0 0 0 0 0 0 
68:103:0 0 0 0 0 0 442 0 
68:107:0 0 0 0 0 0 0 737 
68:99:0 0 0 0 0 0 737 0 
68:18:0 0 0 0 0 0 8771 0 
68:166:0 0 0 209 0 0 0 0 
89:26:0 0 0 0 0 0 0 0 
68:129:0 0 0 0 0 0 0 0 
38:23:0 0 0 0 0 0 0 0 
68:85:0 0 0 0 0 0 186 0 
68:214:737 0 0 0 0 0 0 0 
6:12:0 0 0 0 0 45637 0 0 
68:36:0 0 8771 0 0 0 0 0 
38:18:0 0 0 0 0 213 0 0 
68:52:0 59385 0 0 0 0 0 0 
38:35:0 0 0 0 0 0 0 213 
68:104:0 0 0 0 29535 0 0 0 
68:209:0 0 0 0 0 0 0 0 
68:207:0 0 0 0 0 0 0 0 
6:158:0 0 0 0 0 0 0 0 
68:232:0 0 0 0 0 186 0 0 
19:192:0 0 0 0 0 210 0 0 
6:130:0 0 0 0 0 0 0 0 
19:103:0 0 0 0 210 0 0 0 
85:137:0 0 0 0 0 0 0 0 
19:206:210 0 0 0 0 0 0 0 
6:186:0 0 0 0 0 0 0 0 
22:171:0 0 0 0 0 155 0 0 
22:188:0 0 0 0 0 0 0 0 
85:14:0 0 0 0 0 0 0 0 
6:163:0 0 0 0 0 0 0 0 
85:106:0 0 0 49518 0 0 0 0 
22:186:0 0 0 0 0 0 0 0 
22:56:0 0 0 0 0 0 0 0 
22:199:0 0 0 0 0 0 0 0 
22:137:0 0 155 0 0 0 0 0 
6:105:0 0 0 0 0 0 26592 0 
6:108:0 0 0 0 0 0 0 0 
22:2:0 0 0 0 0 0 6068 0 
19:253:0 0 0 0 442 0 0 0 
85:177:0 0 49518 0 0 0 0 0 
6:159:0 0 0 0 0 0 0 0 
85:63:0 0 0 0 0 0 0 0 
85:104:0 0 0 0 0 0 0 24206 
85:120:0 0 0 0 0 0 0 0 
19:213:0 0 0 0 0 0 0 0 
11:69:0 0 0 0 0 0 0 0 
19:34:0 0 0 0 0 0 7893 0 
8:48:0 0 0 0 0 0 0 729 
11:63:0 0 0 0 0 620 0 0 
22:235:0 0 0 0 0 0 286 0 
22:236:0 0 0 6068 0 0 0 0 
8:3:48538 0 0 0 0 0 0 0 
12:18:0 0 0 0 0 0 0 0 
8:44:0 0 0 0 0 0 0 0 
19:4:0 0 0 0 0 5793 0 0 
19:22:0 0 0 0 0 0 46791 0 
8:222:0 0 0 0 0 0 35231 0 
8:164:0 0 0 0 0 0 0 0 
8:247:0 0 0 0 19 0 0 0 
12:204:0 0 0 0 0 0 220 0 
17:218:0 0 0 0 0 0 0 0 
11:247:0 0 0 0 0 0 0 0 
11:185:0 0 0 0 0 0 0 0 
11:102:0 0 0 0 0 0 0 0 
12:6:0 0 0 0 0 862 0 0 
17:56:0 0 0 0 0 0 80 0 
11:95:0 0 0 0 0 0 0 0 
8:61:0 0 0 0 0 0 0 0 
8:18:0 0 0 0 0 27641 0 0 
11:159:0 0 0 620 0 0 0 0 
12:186:0 0 0 0 9102 0 0 0 
12:3:0 0 0 0 0 0 37153 0 
12:165:676 0 0 0 0 0 0 0 
17:111:0 0 0 0 0 0 0 0 
12:106:0 9102 0 0 0 0 0 0 
17:155:0 0 0 0 0 0 0 0 
12:210:20571 0 0 0 0 0 0 0 
5:132:0 0 0 3 0 0 0 0 
14:91:0 0 0 0 0 0 39080 0 
14:94:0 0 0 0 0 0 0 0 
20:186:0 0 0 0 0 0 0 0 
5:182:0 0 0 37506 0 0 0 0 
14:40:0 0 0 0 0 0 39080 0 
17:109:0 0 0 0 0 0 0 271 
5:250:0 0 0 0 0 0 0 0 
20:207:0 0 0 0 0 0 0 0 
14:28:0 0 0 0 0 0 32 0 
17:142:0 0 0 0 0 0 0 0 
17:86:0 0 0 0 0 0 0 0 
21:34:0 0 0 0 0 42349 0 0 
20:119:0 0 0 0 0 0 0 0 
14:87:0 0 0 0 0 0 0 0 
20:238:0 0 0 0 0 0 0 0 
5:146:0 0 0 0 0 0 0 0 
21:120:0 0 0 42349 0 0 0 0 
21:2:0 0 0 0 0 0 0 0 
14:29:594 0 0 0 0 0 0 0 
21:145:0 0 0 0 0 0 0 0 
5:159:0 0 0 29658 0 0 0 0 
20:248:0 0 736 0 0 0 0 0 
23:87:0 0 0 0 0 0 0 0 
21:205:0 0 0 0 0 0 0 0 
21:118:0 0 0 0 0 0 0 0 
5:3:0 0 0 0 0 0 0 0 
23:133:0 0 0 0 0 0 0 0 
23:25:0 0 0 0 0 0 0 0 
14:252:0 802 0 0 0 0 0 0 
14:9:0 0 0 0 0 0 0 0 
14:159:0 0 0 0 0 0 0 0 
23:128:0 0 0 0 0 0 0 0 
21:105:0 0 0 0 0 0 0 0 
67:32:770 0 0 0 0 0 0 0 
23:136:0 0 0 0 0 0 0 0 
23:112:0 0 0 15553 0 0 0 0 
67:26:0 0 0 0 0 0 0 0 
57:108:0 0 0 0 0 0 0 0 
67:249:0 0 0 0 0 0 0 0 
23:174:0 0 0 653 0 0 0 0 
21:41:0 0 0 0 0 0 0 0 
21:246:0 0 0 0 0 0 0 0 
21:54:0 0 0 0 0 0 0 0 
23:220:0 0 0 0 0 0 0 0 
23:243:502 0 0 0 0 0 0 0 
23:178:117 0 0 0 0 0 0 0 
67:233:0 0 0 0 0 0 0 0 
57:210:0 0 0 0 53683 0 0 0 
67:241:0 0 0 0 0 48683 0 0 
23:37:0 0 0 0 0 0 0 0 
33:24:0 0 0 0 0 0 0 0 
57:175:0 0 0 0 0 0 0 0 
70:88:0 0 0 0 0 0 0 8593 
67:177:0 0 0 0 0 0 0 0 
67:204:48683 0 0 0 0 0 0 0 
33:150:0 0 0 0 0 0 0 0 
57:109:0 0 0 0 0 55498 0 0 
33:118:0 0 0 0 31258 0 0 0 
33:29:0 0 0 0 0 0 0 140 
33:112:0 0 0 0 0 140 0 0 
70:155:0 0 0 0 0 34411 0 0 
70:42:0 0 0 0 34411 0 0 0 
33:37:0 0 0 0 0 0 0 0 
80:238:0 54519 0 0 0 0 0 0 
80:189:0 0 0 0 0 0 0 0 
33:167:0 0 0 0 0 0 0 0 
70:213:0 0 0 0 0 478 0 0 
70:249:0 0 0 0 0 0 0 0 
70:161:0 0 0 704 0 0 0 0 
88:81:0 0 0 0 0 0 0 0 
70:146:0 0 0 0 0 0 0 55864 
88:216:0 0 0 0 0 0 0 0 
61:123:0 0 0 0 0 0 0 0 
59:160:0 0 0 0 0 0 0 0 
59:62:0 0 0 0 0 0 0 0 
61:19:0 0 0 0 0 0 207 0 
59:237:0 0 0 0 0 0 0 0 
59:168:0 0 0 15104 0 0 0 0 
61:36:0 0 0 232 0 0 0 0 
88:60:0 0 0 0 0 0 0 0 
88:154:0 0 0 0 0 0 0 0 
61:60:0 132 0 0 0 0 0 0 
61:208:0 0 0 0 0 0 0 0 
53:25:0 0 0 0 0 0 0 0 
53:90:0 0 0 0 0 0 0 0 
69:243:0 49438 0 0 0 0 0 0 
53:228:0 0 0 0 0 0 0 0 
59:41:0 0 0 0 0 61520 0 0 
39:85:0 20826 0 0 0 0 0 0 
53:180:0 0 0 0 0 0 0 0 
53:135:0 0 0 0 0 0 0 0 
53:47:0 0 0 5037 0 0 0 0 
69:242:0 0 0 0 0 0 0 533 
18:175:0 0 0 0 0 0 0 0 
39:253:0 0 0 0 0 0 0 0 
18:154:0 0 0 0 0 0 0 0 
39:6:0 295 0 0 0 0 0 0 
53:140:0 0 0 0 0 0 0 0 
18:156:0 0 0 0 0 0 0 0 
69:21:0 0 0 0 0 0 0 2965 
18:101:0 0 0 0 0 0 0 0 
18:179:0 0 0 0 0 0 0 0 
53:183:0 0 0 0 615 0 0 0 
39:44:0 0 0 0 0 56864 0 0 
69:165:0 0 0 0 0 57877 0 0 
53:173:0 0 0 0 0 0 0 0 
69:235:0 0 0 0 0 63656 0 0 
69:63:0 0 57877 0 0 0 0 0 
39:37:0 0 0 0 9116 0 0 0 
18:131:0 0 0 0 0 0 0 251 
18:93:0 0 0 0 0 0 0 0 
69:8:0 0 0 0 0 0 0 0 
39:62:0 0 0 0 0 0 0 25 
69:124:0 0 12882 0 0 0 0 0 
69:116:0 0 0 0 0 0 0 0 
69:174:0 255 0 0 0 0 0 0 
82:88:0 0 0 0 0 0 0 0 
16:184:0 0 0 0 0 0 608 0 
82:209:0 0 0 0 0 0 0 0 
34:38:0 0 0 0 0 0 0 0 
34:162:27284 0 0 0 0 0 0 0 
16:69:0 0 0 0 0 0 0 0 
16:136:0 0 0 0 0 0 0 0 
39:223:0 0 0 0 0 0 0 0 
16:231:0 0 0 0 0 0 0 0 
82:38:0 0 0 0 0 0 0 0 
16:188:0 0 0 0 0 27910 0 0 
34:114:0 0 0 0 0 0 0 0 
39:90:123 0 0 0 0 0 0 0 
63:218:0 0 4998 0 0 0 0 0 
34:56:0 0 0 0 0 0 0 0 
16:28:0 0 0 0 0 0 0 0 
82:247:0 0 0 0 0 0 0 0 
34:144:0 0 0 0 0 0 0 0 
82:112:0 0 0 0 0 13492 0 0 
63:45:0 0 0 0 0 0 0 0 
63:64:0 0 0 84 0 0 0 0 
82:199:0 0 0 0 0 0 0 0 
16:150:0 0 0 0 0 0 0 0 
34:155:0 0 0 0 0 0 1308 0 
16:79:0 0 0 43498 0 0 0 0 
63:168:0 0 0 0 0 0 0 0 
34:134:0 0 0 0 0 0 0 0 
16:21:0 0 0 0 0 0 0 0 
82:66:0 0 0 0 0 0 44 0 
63:20:60938 0 0 0 0 0 0 0 
63:88:0 0 0 0 0 0 0 0 
34:122:0 0 0 0 0 0 0 0 
92:172:0 0 0 0 0 0 0 0 
90:197:0 0 0 0 0 0 322 0 
64:163:64636 0 0 0 0 0 0 0 
64:13:0 0 0 0 0 0 0 0 
92:187:0 0 221 0 0 0 0 0 
92:134:0 0 0 0 0 0 0 0 
64:105:0 0 0 0 0 0 0 0 
63:108:0 0 0 0 0 0 0 0 
64:82:0 0 0 0 0 0 0 0 
63:120:145 0 0 0 0 0 0 0 
92:246:0 0 0 0 55210 0 0 0 
90:229:0 27 0 0 0 0 0 0 
64:210:0 0 0 0 0 0 0 0 
64:193:0 0 0 0 0 0 0 0 
92:142:0 0 55210 0 0 0 0 0 
90:91:0 0 0 0 0 0 0 50120 
92:50:629 0 0 0 0 0 0 0 
90:227:0 0 0 0 0 0 0 572 
48:28:0 0 564 0 0 0 0 0 
92:242:0 0 0 0 0 0 0 0 
48:53:0 0 0 0 0 0 775 0 
48:164:299 0 0 0 0 0 0 0 
90:67:0 0 0 0 0 0 0 0 
90:24:0 0 0 0 0 0 0 0 
64:86:0 0 14196 0 0 0 0 0 
9:124:0 0 0 0 0 315 0 0 
64:52:0 0 0 0 0 0 0 0 
48:246:0 0 0 0 0 0 0 0 
9:98:308 0 0 0 0 0 0 0 
64:122:0 0 0 0 0 0 0 0 
90:205:0 11 0 0 0 0 0 0 
9:172:0 0 308 0 0 0 0 0 
84:167:0 0 0 0 0 0 0 0 
48:32:0 0 0 0 0 0 0 590 
84:228:0 0 0 0 64455 0 0 0 
48:20:0 0 0 0 0 0 0 0 
9:195:0 0 0 0 0 0 0 20 
86:216:0 0 0 0 0 0 0 0 
84:54:0 0 0 0 0 0 0 0 
86:243:0 20882 0 0 0 0 0 0 
32:183:0 0 0 0 0 0 0 0 
32:41:0 0 0 0 0 0 0 0 
84:39:0 0 0 0 0 0 0 0 
86:148:0 0 0 0 0 0 0 0 
32:111:0 0 0 0 0 0 0 0 
9:145:0 0 315 0 0 0 0 0 
9:44:0 0 0 0 0 0 86 0 
86:140:0 0 0 0 0 0 0 0 
86:255:0 0 0 0 0 0 0 0 
9:96:0 0 0 0 0 0 0 0 
86:14:0 0 0 0 0 0 0 0 
9:72:0 0 86 0 0 0 0 0 
32:27:0 0 0 0 0 0 0 0 
86:27:0 0 0 0 0 0 0 0 
32:232:0 0 0 0 0 0 0 0 
86:151:0 0 0 0 0 0 0 0 
32:141:0 0 0 0 0 0 0 0 
32:248:0 0 0 40774 0 0 0 0 
86:154:0 0 0 0 0 0 0 0 
32:51:0 0 0 0 0 0 0 0 
32:195:0 0 0 0 0 0 0 0 
7:198:0 0 0 754 0 0 0 0 
81:14:0 0 0 0 0 0 0 0 
81:139:0 0 46042 0 0 0 0 0 
84:6:0 0 0 0 0 0 0 0 
7:31:0 0 0 0 0 0 754 0 
7:174:0 0 0 0 0 0 0 0 
91:133:0 0 0 3665 0 0 0 0 
91:37:772 0 0 0 0 0 0 0 
91:41:0 0 0 51002 0 0 0 0 
81:225:0 0 0 0 0 0 0 0 
91:177:0 0 0 0 0 0 772 0 
81:80:0 0 0 0 0 0 0 396 
81:106:0 0 0 0 0 0 0 0 
